,PZC LN Equity
,GHG_SCOPE_1
2012-05-31,91.281
2013-05-31,83.763
2014-05-31,85.203
2015-05-31,75.078
2016-05-31,60.598
2017-05-31,54.306
2018-05-31,52.509
2019-05-31,45.516
2020-05-31,38.354
2021-05-31,37.977
