,MONY LN Equity
,GHG_SCOPE_1
2013-12-31,0.025
2014-12-31,0.026
2015-12-31,0.072
2016-12-31,0.024
2017-12-31,0.032
2018-12-31,0.025
2019-12-31,0.027
2020-12-31,0.033
2021-12-31,0.045
