,LXS GR Equity
,GHG_SCOPE_1
2011-12-31,1935.0
2012-12-31,1906.0
2013-12-31,1770.0
2014-12-31,1762.0
2015-12-31,1643.0
2016-12-31,1741.0
2017-12-31,1975.0
2018-12-31,1753.0
2019-12-31,1504.0
2020-12-31,1263.0
2021-12-31,1284.0
