,NOVN SW Equity
,GHG_SCOPE_1
2011-12-31,653.7
2012-12-31,567.8
2013-12-31,569.1
2014-12-31,543.3
2015-12-31,530.8
2016-12-31,531.3
2017-12-31,531.41
2018-12-31,548.073
2019-12-31,484.529
2020-12-31,387.656
2021-12-31,352.831
