,SMWH LN Equity
,GHG_SCOPE_1
2012-08-31,6.439
2013-08-31,9.243
2014-08-31,8.191
2015-08-31,8.7
2016-08-31,8.32
2017-08-31,8.537
2018-08-31,2.659
2019-08-31,2.653
2020-08-31,6.025
2021-08-31,2.688
