,CGCBV FH Equity
,GHG_SCOPE_1
2013-12-31,7.1
2014-12-31,7.8
2015-12-31,8.1
2016-12-31,10.0
2017-12-31,8.4
2018-12-31,20.1
2019-12-31,22.0
2020-12-31,22.7
2021-12-31,21.3
