,SGO FP Equity
,GHG_SCOPE_1
2011-12-31,14100.0
2012-12-31,12800.0
2013-12-31,12240.0
2014-12-31,12400.0
2015-12-31,9500.0
2016-12-31,9400.0
2017-12-31,9600.0
2018-12-31,8600.0
2019-12-31,8000.0
2020-12-31,7915.73
2021-12-31,8402.82
