,GLEN LN Equity
,GHG_SCOPE_1
2011-12-31,8901.0
2012-12-31,10453.0
2013-12-31,25814.0
2014-12-31,23000.0
2015-12-31,23000.0
2016-12-31,22900.0
2017-12-31,21556.0
2018-12-31,18488.0
2019-12-31,18266.0
2020-12-31,15029.0
2021-12-31,15000.0
