,JM SS Equity
,GHG_SCOPE_1
2013-12-31,4.934
2014-12-31,4.394
2015-12-31,5.043
2016-12-31,4.207
2017-12-31,4.775
2018-12-31,4.241
2019-12-31,3.282
2020-12-31,3.301
2021-12-31,3.06
