,BAB LN Equity
,GHG_SCOPE_1
2013-03-31,46.642
2014-03-31,37.376
2015-03-31,47.746
2016-03-31,94.539
2017-03-31,103.337
2018-03-31,86.666
2019-03-31,144.351
2020-03-31,169.96
2021-03-31,158.054
2022-03-31,143.16
