,HFD LN Equity
,GHG_SCOPE_1
2011-04-01,7.318
2012-03-30,6.0
2014-03-28,15.283
2015-04-03,8.856
2016-04-01,9.818
2017-03-31,10.376
2018-03-30,9.689
2019-03-29,9.155
2020-04-03,11.748
2021-04-02,13.095
2022-04-01,12.781
