,RF FP Equity
,GHG_SCOPE_1
2012-12-31,0.0
2013-12-31,0.017
2014-12-31,0.021
2015-12-31,0.022
2016-12-31,0.038
2017-12-31,0.039
2018-12-31,0.019
2019-12-31,0.01
2020-12-31,0.024
