,BKG LN Equity
,GHG_SCOPE_1
2011-04-30,3.999
2012-04-30,3.621
2013-04-30,3.173
2014-04-30,1.941
2015-04-30,2.283
2016-04-30,2.364
2017-04-30,2.265
2018-04-30,2.553
2019-04-30,3.213
2020-04-30,3.215
2021-04-30,2.351
