,BDEV LN Equity
,GHG_SCOPE_1
2013-06-30,16.287
2014-06-30,17.315
2015-06-30,18.224
2016-06-30,20.211
2017-06-30,20.772
2018-06-30,19.426
2019-06-30,24.832
2020-06-30,18.374
2021-06-30,26.769
2022-06-30,23.234
