,JD/ LN Equity
,GHG_SCOPE_1
2014-02-01,6.724
2015-01-31,6.15
2016-01-30,3.751
2017-01-28,7.308
2018-02-03,4.237
2019-02-02,4.253
2020-02-01,6.529
2021-01-30,5.974
2022-01-29,7.461
