,MOL HB Equity
,GHG_SCOPE_1
2011-12-31,7230.0
2012-12-31,6440.0
2014-12-31,5810.0
2015-12-31,6150.0
2016-12-31,6070.0
2017-12-31,7100.0
2018-12-31,7230.0
2019-12-31,6840.0
2020-12-31,6810.0
