,SAB SM Equity
,GHG_SCOPE_1
2011-12-31,0.379
2012-12-31,0.378
2013-12-31,0.56
2014-12-31,0.552
2015-12-31,0.6
2016-12-31,0.648
2017-12-31,0.763
2018-12-31,1.151
2019-12-31,3.01
2020-12-31,2.761
2021-12-31,2.171
