,PAY LN Equity
,GHG_SCOPE_1
2013-03-31,0.474
2014-03-31,0.357
2015-03-31,0.382
2016-03-31,0.346
2017-03-31,0.373
2018-03-31,0.435
2019-03-31,0.329
2020-03-31,0.349
2021-03-31,0.06
2022-03-31,0.151
