,HYVE LN Equity
,GHG_SCOPE_1
2013-09-30,0.444
2014-09-30,0.4
2015-09-30,0.191
2016-09-30,0.207
2017-09-30,0.201
2018-09-30,0.215
2019-09-30,0.228
2020-09-30,0.222
2021-09-30,0.194
