,ICP LN Equity
,GHG_SCOPE_1
2014-03-31,0.014
2015-03-31,0.177
2016-03-31,0.049
2017-03-31,0.074
2018-03-31,0.048
2019-03-31,0.049
2020-03-31,0.066
2021-03-31,0.011
2022-03-31,0.007
