,HMSO LN Equity
,GHG_SCOPE_1
2011-12-31,4.003
2012-12-31,3.061
2013-12-31,5.595
2014-12-31,2.942
2015-12-31,6.171
2016-12-31,5.253
2017-12-31,7.133
2018-12-31,5.636
2019-12-31,4.829
2020-12-31,2.183
2021-12-31,3.28
