,VSVS LN Equity
,GHG_SCOPE_1
2013-12-31,398.25
2014-12-31,384.0
2015-12-31,362.0
2016-12-31,340.0
2017-12-31,396.0
2018-12-31,370.0
2019-12-31,318.0
2020-12-31,271.0
2021-12-31,310.713
