,HILS LN Equity
,GHG_SCOPE_1
2013-12-31,72.859
2014-12-31,61.793
2015-12-31,58.616
2016-12-31,45.347
2017-12-31,45.079
2018-12-31,44.231
2019-12-31,53.478
2020-12-31,52.066
2021-12-31,53.712
