,BOY LN Equity
,GHG_SCOPE_1
2012-12-31,143.576
2013-12-31,154.069
2014-12-31,158.2
2015-12-31,147.8
2016-12-31,137.5
2017-12-31,150.3
2018-12-31,150.6
2019-12-31,142.6
2020-12-31,140.4
2021-12-31,118.0
