,LAND LN Equity
,GHG_SCOPE_1
2011-03-31,19.484
2012-03-31,17.451
2013-03-31,18.889
2014-03-31,13.047
2015-03-31,13.926
2016-03-31,13.443
2017-03-31,16.477
2018-03-31,14.856
2019-03-31,11.589
2020-03-31,9.249
2021-03-31,7.638
2022-03-31,7.292
