,ALTA FP Equity
,GHG_SCOPE_1
2013-12-31,32.816
2014-12-31,1.727
2015-12-31,2.221
2016-12-31,2.35
2017-12-31,2.0
2018-12-31,3.0
2019-12-31,1.7
2020-12-31,1.364
2021-12-31,1.504
