,HBR LN Equity
,GHG_SCOPE_1
2011-12-31,614.507
2012-12-31,890.809
2013-12-31,1177.6
2014-12-31,1106.69
2015-12-31,935.485
2016-12-31,1013.29
2017-12-31,1082.32
2018-12-31,1296.0
2019-12-31,1020.0
2020-12-31,864.0
2021-12-31,2119.0
