,DIM FP Equity
,GHG_SCOPE_1
2012-12-31,6.015
2013-12-31,6.834
2014-12-31,6.053
2015-12-31,9.556
2016-12-31,10.886
2017-12-31,11.044
2019-12-31,15.712
2020-12-31,13.882
2021-12-31,17.552
