,BMW GR Equity
,GHG_SCOPE_1
2011-12-31,451.0
2012-12-31,484.612
2013-12-31,492.798
2014-12-31,494.931
2015-12-31,536.168
2016-12-31,562.146
2017-12-31,625.072
2018-12-31,581.703
2019-12-31,642.259
2020-12-31,642.885
2021-12-31,699.713
