,BRBY LN Equity
,GHG_SCOPE_1
2014-03-31,1.761
2015-03-31,1.662
2016-03-31,2.013
2017-03-31,2.126
2018-03-31,2.119
2019-03-30,2.096
2020-03-28,1.854
2021-03-27,2.155
2022-04-02,1.835
