,LOGN SW Equity
,GHG_SCOPE_1
2011-03-31,0.159
2012-03-31,0.127
2014-03-31,0.137
2015-03-31,0.216
2016-03-31,0.455
2017-03-31,0.552
2018-03-31,0.781
2019-03-31,0.553
2020-03-31,0.895
