,CRST LN Equity
,GHG_SCOPE_1
2013-10-31,3.558
2014-10-31,4.479
2015-10-31,5.027
2016-10-31,4.374
2017-10-31,5.761
2018-10-31,7.285
2019-10-31,6.721
2020-10-31,4.232
2021-10-31,3.638
