,SU FP Equity
,GHG_SCOPE_1
2011-12-31,122.688
2012-12-31,113.238
2013-12-31,103.664
2014-12-31,84.053
2015-12-31,90.054
2016-12-31,85.852
2017-12-31,84.913
2018-12-31,84.183
2019-12-31,171.335
2020-12-31,142.149
2021-12-31,140.936
