,CO FP Equity
,GHG_SCOPE_1
2012-12-31,1427.06
2013-12-31,1279.17
2014-12-31,1432.45
2015-12-31,1477.46
2016-12-31,1122.77
2017-12-31,988.843
2018-12-31,1137.38
2019-12-31,1208.75
2020-12-31,1240.0
2021-12-31,1028.0
