,QQ/ LN Equity
,GHG_SCOPE_1
2014-03-31,27.59
2015-03-31,26.534
2016-03-31,23.183
2017-03-31,21.245
2018-03-31,24.651
2019-03-31,20.096
2020-03-31,19.289
2021-03-31,15.872
2022-03-31,15.727
