,BOSS GR Equity
,GHG_SCOPE_1
2013-12-31,10.246
2014-12-31,10.826
2015-12-31,10.785
2016-12-31,11.419
2017-12-31,11.712
2018-12-31,11.066
2019-12-31,12.009
2020-12-31,10.155
2021-12-31,10.225
