,RKT LN Equity
,GHG_SCOPE_1
2011-12-31,94.406
2012-12-31,94.868
2013-12-31,80.806
2014-12-31,86.076
2015-12-31,79.502
2016-12-31,80.321
2017-12-31,63.726
2018-12-31,148.214
2019-12-31,140.117
2020-12-31,138.105
2021-12-31,120.346
