,STOCKA FH Equity
,GHG_SCOPE_1
2011-12-31,0.845
2012-12-31,0.742
2013-12-31,3.382
2014-12-31,1.963
2015-12-31,1.8
2016-12-31,3.1
2017-12-31,1.97
2018-12-31,1.58
2019-12-31,0.8
2020-12-31,0.63
2021-12-31,0.372
