,SPM IM Equity
,GHG_SCOPE_1
2011-12-31,1320.9
2012-12-31,1542.6
2013-12-31,1538.7
2014-12-31,1420.1
2015-12-31,1538.7
2016-12-31,1203.4
2017-12-31,1299.7
2018-12-31,1348.83
2019-12-31,1405.8
2020-12-31,1123.0
2021-12-31,1054.1
