,HTO GA Equity
,GHG_SCOPE_1
2011-12-31,11.45
2012-12-31,17.025
2013-12-31,16.156
2014-12-31,14.32
2015-12-31,32.793
2016-12-31,30.991
2017-12-31,32.8
2018-12-31,29.1
2019-12-31,27.3
2020-12-31,25.41
