,ARL GR Equity
,GHG_SCOPE_1
2012-12-31,2.045
2013-12-31,2.09
2014-12-31,3.994
2015-12-31,4.257
2016-12-31,3.962
2017-12-31,3.386
2018-12-31,3.76
2019-12-31,3.159
2020-12-31,1.81
2021-12-31,1.751
