,MC FP Equity
,GHG_SCOPE_1
2011-12-31,40.89
2012-12-31,48.365
2013-12-31,51.362
2014-12-31,48.565
2015-12-31,64.468
2016-12-31,62.657
2017-12-31,63.97
2018-12-31,73.94
2019-12-31,67.613
2020-12-31,62.459
2021-12-31,71.055
