,TPEIR GA Equity
,GHG_SCOPE_1
2012-12-31,0.335
2013-12-31,1.433
2014-12-31,2.262
2015-12-31,3.614
2016-12-31,4.408
2017-12-31,2.999
2018-12-31,2.424
2019-12-31,6.632
2020-12-31,2.82
2021-12-31,2.84
