,SHB LN Equity
,GHG_SCOPE_1
2012-09-30,0.052
2013-09-30,0.083
2014-09-30,0.139
2015-09-30,0.312
2016-09-30,0.376
2017-09-30,0.207
2018-09-30,0.223
2019-09-30,0.191
2020-09-30,0.211
2021-09-30,0.198
