,VER AV Equity
,GHG_SCOPE_1
2011-12-31,3658.0
2012-12-31,3087.0
2013-12-31,2777.0
2014-12-31,1761.0
2015-12-31,1737.0
2016-12-31,1007.0
2017-12-31,1358.0
2018-12-31,1070.0
2019-12-31,1073.0
2020-12-31,653.0
2021-12-31,454.0
