,METSB FH Equity
,GHG_SCOPE_1
2011-12-31,681.461
2012-12-31,482.035
2013-12-31,388.461
2014-12-31,380.348
2015-12-31,317.441
2016-12-31,278.725
2017-12-31,300.973
2018-12-31,288.579
2019-12-31,248.274
2020-12-31,240.036
2021-12-31,255.467
