,IDS LN Equity
,GHG_SCOPE_1
2011-03-28,479.08
2012-03-28,462.876
2013-03-31,468.4
2014-03-30,473.1
2015-03-29,500.5
2016-03-27,518.6
2017-03-26,458.2
2018-03-25,451.1
2019-03-31,472.2
2020-03-29,460.2
2021-03-28,490.8
2022-03-27,468.5
