,SDY LN Equity
,GHG_SCOPE_1
2011-03-31,25.526
2012-03-31,23.122
2014-03-31,20.679
2015-03-31,20.263
2016-03-31,17.404
2017-03-31,20.423
2018-03-31,17.616
2019-03-31,19.5
2020-03-31,18.736
2021-03-31,16.65
2022-03-31,16.126
