,CAPC LN Equity
,GHG_SCOPE_1
2013-12-31,2.907
2014-12-31,1.998
2015-12-31,1.356
2016-12-31,1.061
2017-12-31,0.752
2018-12-31,0.642
2019-12-31,0.643
2020-12-31,0.457
2021-12-31,0.513
