,SMDS LN Equity
,GHG_SCOPE_1
2011-04-30,311.0
2012-04-30,687.0
2013-04-30,1215.0
2014-04-30,1215.0
2015-04-30,1292.53
2016-04-30,1539.78
2017-04-30,1570.0
2018-04-30,1660.0
2019-04-30,1750.0
2020-04-30,1833.0
