,SON PL Equity
,GHG_SCOPE_1
2011-12-31,36.73
2012-12-31,34.589
2013-12-31,33.9
2014-12-31,34.834
2015-12-31,35.834
2016-12-31,39.195
2017-12-31,50.335
2018-12-31,52.459
2019-12-31,65.318
2020-12-31,63.48
