,FR FP Equity
,GHG_SCOPE_1
2011-12-31,141.938
2012-12-31,153.2
2013-12-31,168.4
2014-12-31,164.7
2015-12-31,141.8
2016-12-31,145.8
2017-12-31,166.9
2018-12-31,175.3
2019-12-31,186.9
2020-12-31,170.6
2021-12-31,193.5
