,FLS DC Equity
,GHG_SCOPE_1
2011-12-31,23.0
2012-12-31,27.55
2013-12-31,24.05
2014-12-31,12.7
2015-12-31,13.46
2016-12-31,11.347
2017-12-31,27.236
2018-12-31,29.875
2019-12-31,18775.0
2020-12-31,10.888
2021-12-31,11.13
