,GARAN TI Equity
,GHG_SCOPE_1
2011-12-31,16.981
2012-12-31,15.568
2013-12-31,9.307
2014-12-31,8.698
2015-12-31,11.763
2016-12-31,10.924
2017-12-31,11.835
2018-12-31,12.933
2019-12-31,14.923
2020-12-31,10.508
