,ELM LN Equity
,GHG_SCOPE_1
2013-12-31,221.076
2014-12-31,221.42
2015-12-31,208.61
2016-12-31,194.687
2017-12-31,218.198
2018-12-31,242.476
2019-12-31,205.314
2020-12-31,193.826
2021-12-31,211.619
