,TIETO FH Equity
,GHG_SCOPE_1
2011-12-31,0.039
2012-12-31,0.009
2013-12-31,0.124
2014-12-31,0.134
2015-12-31,0.1
2016-12-31,0.112
2017-12-31,0.117
2018-12-31,0.124
2019-12-31,0.099
2020-12-31,0.143
2021-12-31,0.134
