,KCR FH Equity
,GHG_SCOPE_1
2011-12-31,53.4
2012-12-31,42.7
2013-12-31,28.9
2014-12-31,46.9
2015-12-31,42.5
2016-12-31,39.2
2017-12-31,58.2
2018-12-31,54.0
2019-12-31,52.7
2020-12-31,43.4
2021-12-31,44.5
