,SDR LN Equity
,GHG_SCOPE_1
2012-12-31,9.353
2013-12-31,0.659
2014-12-31,0.659
2015-12-31,0.539
2016-12-31,0.688
2017-12-31,0.638
2018-12-31,0.621
2019-12-31,0.709
2020-12-31,0.504
2021-12-31,1.98
