,BCP PL Equity
,GHG_SCOPE_1
2011-12-31,17.629
2012-12-31,18.417
2013-12-31,24.792
2014-12-31,20.326
2015-12-31,18.115
2016-12-31,13.723
2017-12-31,12.921
2018-12-31,9.921
2019-12-31,8.33
2020-12-31,6.401
2021-12-31,6.988
