,G IM Equity
,GHG_SCOPE_1
2011-12-31,17.666
2012-12-31,17.862
2013-12-31,17.396
2014-12-31,20.898
2015-12-31,21.703
2016-12-31,21.881
2017-12-31,21.629
2018-12-31,21.275
2019-12-31,20.353
2020-12-31,17.719
2021-12-31,24.466
