,ENG SM Equity
,GHG_SCOPE_1
2011-12-31,239.861
2012-12-31,387.651
2013-12-31,385.829
2014-12-31,537.092
2015-12-31,272.728
2016-12-31,263.54
2017-12-31,266.357
2018-12-31,276.175
2019-12-31,276.016
2020-12-31,208.314
