,CHG LN Equity
,GHG_SCOPE_1
2011-10-31,21.898
2012-10-31,19.356
2013-10-31,24.417
2014-10-31,22.717
2015-10-31,15.907
2016-10-31,13.967
2017-10-31,10.64
2018-10-31,10.911
2019-10-31,11.54
2020-10-31,9.293
2021-10-31,8.671
