,SNR LN Equity
,GHG_SCOPE_1
2011-12-31,9.409
2012-12-31,10.582
2013-12-31,9.466
2014-12-31,11.475
2015-12-31,12.092
2016-12-31,10.906
2017-12-31,10.348
2018-12-31,10.414
2019-12-31,10.378
2020-12-31,8.731
2021-12-31,8.445
