,NVTK RM Equity
,GHG_SCOPE_1
2013-12-31,2576.0
2014-12-31,3980.0
2015-12-31,4402.6
2016-12-31,6571.77
2017-12-31,4849.3
2018-12-31,7737.14
2019-12-31,11114.9
2020-12-31,9055.8
2021-12-31,10048.0
